NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,5.0,3.0,3.0,0.0,2.0,8.7,3.9,2.0,36,36,36,36,35,35,35,10.9,11.0
0,0,0,3.0,7.5,1.0,5.8,26.2,0.0,4.9,11.8,35,35,35,35,35,35,35,11.0,11.0
0,0,0,2.0,1.0,1.0,0.0,2.0,4.8,2.9,1.9,35,35,35,35,34,35,34,11.0,11.0
0,0,0,1.0,1.0,1.0,0.0,1.0,8.9,4.0,6.6,35,35,35,35,35,34,35,11.0,11.0
0,0,0,2.0,0.0,0.0,0.0,1.9,5.8,7.6,3.9,34,34,34,35,34,34,34,10.8,11.1
0,0,0,1.0,1.0,1.9,0.0,0.0,6.9,8.7,2.9,34,34,34,34,34,34,34,10.8,11.1
0,0,0,3.7,8.0,7.3,1.8,4.5,13.5,11.7,1.8,34,34,34,35,34,33,34,10.8,11.1
0,0,0,1.0,0.0,1.0,0.0,1.9,5.9,7.0,3.9,34,34,34,34,33,34,34,10.8,11.1
0,0,0,1.0,1.0,1.9,3.9,4.0,5.9,3.9,0.0,34,34,34,34,33,34,34,10.8,11.1
0,0,0,1.0,1.0,1.0,1.9,3.9,3.9,5.9,0.0,34,34,34,34,33,33,34,10.8,11.1
0,0,0,2.0,1.0,2.0,1.9,3.9,5.9,6.8,3.9,34,34,34,34,33,33,34,10.8,11.1
0,0,0,0.0,0.0,1.0,0.0,3.9,7.5,4.0,4.9,34,33,34,34,33,33,33,10.8,11.1
0,0,0,0.0,1.9,0.0,0.0,4.0,3.8,10.5,1.9,34,34,34,34,33,33,33,10.8,11.1
0,0,0,4.1,0.0,2.9,1.9,1.0,0.0,13.7,5.1,33,33,33,34,33,33,33,10.8,11.1
0,0,0,5.1,1.0,2.9,1.9,16.7,2.9,10.5,3.9,33,33,33,33,33,33,33,10.9,11.1
0,0,0,7.9,0.0,2.0,1.0,1.0,0.0,12.6,5.8,33,33,33,34,33,33,33,10.9,11.1
0,0,0,0.0,1.0,1.9,2.9,0.0,0.0,7.8,4.9,33,33,33,33,33,33,33,10.9,11.1
0,0,0,5.0,1.0,2.0,1.0,1.9,0.0,6.9,6.8,33,33,33,33,32,33,33,10.9,11.1
0,0,0,14.9,9.8,18.3,11.5,23.8,7.8,7.8,19.6,33,33,34,34,33,33,33,12.6,11.1
0,0,0,31.7,35.6,29.7,28.7,21.6,21.4,23.3,28.7,35,35,35,35,34,34,34,12.6,11.2
0,0,0,29.8,29.8,24.8,26.2,15.7,14.6,29.1,12.7,34,34,34,34,33,33,34,12.6,11.2
0,0,0,11.8,9.0,12.7,14.6,8.6,3.9,34.0,5.7,34,34,35,34,33,33,34,12.3,11.4
0,0,0,12.7,13.5,15.1,9.6,3.9,10.8,22.5,5.8,34,34,34,34,33,33,33,12.3,11.6
0,0,0,23.0,20.4,19.8,21.6,7.6,5.0,9.7,52.9,34,34,34,34,33,33,34,12.1,12.0
0,0,0,10.9,14.6,12.9,10.0,5.9,3.8,3.8,11.9,34,34,34,34,33,33,33,12.1,12.1
0,0,0,4.0,9.6,6.9,5.8,14.6,2.0,6.8,4.9,34,33,33,34,33,33,33,12.0,12.2
0,0,0,9.9,8.7,7.9,8.7,33.0,3.8,9.5,5.8,34,34,34,34,33,33,33,11.9,12.5
0,0,0,30.4,33.0,33.3,27.2,19.2,9.6,11.5,9.0,35,35,35,35,33,33,34,11.9,12.6
0,0,0,31.4,26.0,28.3,21.5,10.9,19.0,16.5,9.1,34,34,34,34,33,33,33,11.8,12.7
0,0,0,3.2,11.9,10.7,8.8,2.9,10.5,5.8,6.8,34,34,34,34,33,33,33,11.8,12.9
0,0,0,8.0,8.6,12.3,6.9,7.8,5.0,5.0,2.9,33,33,34,34,33,33,33,11.7,13.0
0,0,0,8.8,14.3,12.9,13.3,16.5,3.9,7.7,5.8,34,33,34,34,33,33,33,11.6,13.3
0,0,0,8.1,9.7,12.3,8.8,43.8,2.9,8.8,4.8,34,34,34,34,33,33,33,11.3,14.1
