NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
20,27,26,28.8,17.9,10.9,14.3,57.9,66.1,55.7,59.9,39,39,39,39,39,37,38,96.1,22.6
71,78,76,7.5,8.5,7.5,9.7,6.6,79.8,26.4,15.7,39,40,40,40,39,38,38,96.2,22.5
73,81,79,8.2,28.0,14.7,11.7,7.6,77.1,13.0,5.8,39,38,38,38,39,37,38,96.2,22.5
71,78,76,8.8,8.9,5.0,5.8,4.0,8.9,20.2,5.8,38,38,38,38,38,37,37,96.3,22.5
73,80,78,6.2,10.0,5.9,9.8,6.7,6.9,21.4,9.8,38,39,39,39,38,38,38,96.3,22.4
76,83,81,8.7,9.9,13.0,15.1,3.0,100.0,14.0,24.1,40,40,40,40,39,38,38,96.3,22.3
72,79,77,20.2,14.4,7.8,15.5,14.2,25.2,2.9,11.2,38,38,38,38,38,38,38,96.4,22.1
70,76,74,4.9,25.3,8.7,8.7,5.0,5.0,16.5,6.9,38,38,38,39,38,37,38,96.4,22.1
70,77,75,2.7,15.9,13.5,12.0,9.8,7.4,6.4,13.6,38,38,38,38,38,37,38,96.5,22.1
72,79,77,3.0,26.0,2.9,21.4,7.8,11.5,6.7,8.7,38,38,38,38,38,37,38,96.4,22.1
65,71,69,3.6,33.0,11.8,14.2,13.5,11.6,7.2,18.0,38,37,38,38,38,37,37,96.4,22.1
71,78,76,2.0,30.1,7.9,9.7,16.0,11.8,1.9,5.7,38,38,38,38,38,37,38,96.4,22.1
70,76,74,4.7,8.2,9.9,17.0,7.3,9.2,10.3,25.5,38,37,38,38,38,37,37,96.4,22.1
71,77,75,3.9,10.9,16.8,11.0,8.9,3.9,7.8,26.0,38,38,38,38,38,37,38,96.4,22.1
67,72,71,8.8,12.7,6.7,11.7,9.7,18.4,27.2,12.6,38,38,39,38,38,37,38,96.6,21.9
71,77,75,9.8,6.7,6.9,21.0,10.4,26.7,6.9,2.9,38,38,38,38,38,37,37,96.7,21.7
70,76,74,6.9,13.5,9.9,9.9,5.9,28.8,8.8,2.9,38,39,39,38,38,37,38,96.7,21.7
69,76,74,11.7,27.2,12.5,12.5,9.8,8.7,5.7,6.7,38,38,38,38,38,37,38,96.7,21.7
69,74,73,2.0,5.8,1.9,10.7,19.6,11.8,10.9,11.9,38,38,38,38,38,37,37,96.7,21.7
76,83,80,11.7,14.7,4.9,8.7,21.9,50.5,11.3,10.5,39,40,40,39,39,38,38,96.7,21.7
72,79,77,4.5,6.5,4.6,17.2,24.8,57.5,21.3,20.9,39,39,39,39,39,38,38,97.2,20.5
72,79,77,8.1,8.7,3.8,8.7,25.5,18.6,1.0,4.9,39,39,39,39,39,38,38,97.2,20.5
72,79,77,3.0,2.9,5.1,21.6,20.2,20.4,1.0,12.6,39,39,39,39,39,38,38,97.2,20.5
73,79,77,8.0,3.9,4.9,4.9,3.9,9.9,23.5,13.5,39,39,39,39,39,38,38,97.3,20.3
