NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,1.0,0.0,8.6,1.9,8.7,7.8,2.9,15.7,32,31,31,32,31,31,31,14.6,2.7
0,0,0,1.0,1.0,2.0,1.9,6.7,11.5,3.9,5.7,32,32,32,32,31,31,31,14.6,2.7
0,0,0,1.0,1.0,1.0,0.0,7.6,13.5,6.7,1.0,32,32,32,32,31,31,31,14.6,2.7
0,0,0,1.0,1.0,2.9,1.0,2.0,4.8,8.7,4.9,32,31,32,32,30,31,31,14.6,2.7
0,0,0,1.0,0.0,2.0,1.0,2.9,8.7,5.8,4.9,31,31,31,32,31,31,31,14.5,2.7
0,0,0,2.0,1.9,2.9,1.0,4.9,9.8,11.3,1.0,31,31,31,31,31,31,31,14.6,2.7
0,0,0,1.0,0.0,3.8,0.0,5.7,12.5,3.9,1.9,31,31,31,32,31,31,31,14.6,2.7
0,0,0,1.0,0.0,2.9,1.0,2.9,11.9,2.0,4.8,31,31,31,32,31,31,31,14.6,2.7
0,0,0,0.0,0.0,2.9,0.0,3.9,7.7,10.7,2.9,31,31,31,32,30,30,31,14.5,2.7
0,0,0,2.9,0.0,1.0,2.9,2.9,6.8,12.6,2.9,31,31,31,32,31,31,31,14.5,2.7
0,0,0,0.0,2.0,3.8,1.0,3.0,6.9,4.8,4.8,31,31,32,31,31,31,31,14.5,2.7
0,0,0,0.0,0.0,2.9,1.0,7.9,6.8,1.9,2.9,32,32,32,31,31,31,31,14.5,2.7
0,0,0,0.0,0.0,2.0,0.0,12.3,7.7,5.7,3.9,31,32,32,32,31,31,31,14.5,2.7
0,0,0,2.0,0.0,0.0,0.0,5.9,8.6,3.8,8.7,32,32,32,32,31,31,31,14.5,2.7
0,0,0,0.0,0.0,1.9,1.0,5.8,4.9,4.8,7.6,31,31,32,32,31,31,31,14.5,2.7
0,0,0,0.0,0.0,1.9,1.0,7.7,7.8,4.9,4.9,32,31,32,32,31,31,31,14.5,2.7
0,0,0,1.0,1.0,2.9,1.0,4.9,10.5,4.8,3.9,32,31,31,32,31,31,31,14.5,2.7
0,0,0,0.0,0.0,2.9,1.0,4.8,9.7,6.7,4.8,32,31,31,31,31,31,31,14.5,2.7
0,0,0,0.0,0.0,3.9,1.0,7.9,3.8,4.8,4.9,31,31,31,31,31,31,31,14.5,2.7
0,0,0,0.0,0.0,2.9,0.0,4.9,0.0,2.9,2.9,31,31,31,31,31,30,31,14.5,2.7
0,0,0,0.0,0.0,0.0,0.0,3.9,4.9,1.0,2.9,31,31,31,31,31,31,31,14.5,2.7
0,0,0,1.0,1.0,0.0,1.0,2.9,6.5,1.0,4.8,31,31,31,32,31,31,31,14.5,2.7
0,0,0,0.0,0.0,0.0,0.0,3.8,0.0,7.8,5.9,31,31,31,31,31,31,31,14.5,2.7
0,0,0,0.0,0.0,0.0,1.9,3.9,1.0,5.7,2.9,31,31,31,31,30,30,30,14.5,2.7
0,0,0,0.0,0.0,1.0,0.0,3.8,1.9,1.0,3.9,31,31,31,31,30,30,31,14.5,2.7
0,0,0,0.0,0.0,2.7,1.8,9.1,5.5,0.0,6.3,31,31,31,31,31,30,31,14.5,2.7
0,0,0,0.0,0.0,1.9,0.0,3.9,0.0,6.7,5.9,31,30,31,31,31,30,31,14.6,2.7
0,0,0,0.0,0.0,1.0,1.0,2.9,2.9,2.0,1.9,31,31,31,31,30,31,31,14.6,2.7
0,0,0,0.0,0.0,2.9,0.0,3.8,3.9,2.0,0.0,31,31,31,31,30,31,31,14.6,2.7
0,0,0,0.0,0.0,3.8,1.0,3.8,4.8,2.0,2.9,31,30,31,31,30,30,30,14.6,2.7
0,0,0,2.9,8.9,4.9,1.0,2.9,0.0,5.9,1.0,31,30,31,31,30,31,31,14.6,2.7
0,0,0,0.0,3.9,3.9,1.0,5.0,0.0,1.0,1.0,31,30,31,31,30,30,30,14.6,2.7
0,0,0,0.0,0.0,1.0,1.0,5.7,3.8,9.9,1.0,31,30,30,31,30,31,31,14.6,2.7
0,0,0,0.0,0.0,4.9,0.0,3.8,1.0,3.0,2.9,31,31,31,31,30,30,30,14.6,2.7
0,0,0,0.0,0.0,4.0,1.0,3.9,3.9,2.0,1.0,31,30,31,31,30,30,30,14.6,2.7
0,0,0,1.0,1.0,3.8,0.0,2.9,2.9,2.0,3.0,31,31,31,31,30,30,30,14.6,2.7
0,0,0,0.0,0.0,1.9,1.0,2.9,0.0,2.0,5.8,31,30,31,31,30,30,31,14.6,2.7
0,0,0,0.0,0.0,1.0,1.0,2.9,3.9,1.0,0.0,31,30,31,31,30,30,30,14.6,2.7
0,0,0,2.9,0.0,1.0,1.0,3.9,0.0,2.0,5.8,31,30,31,31,30,30,30,14.5,2.7
0,0,0,2.0,0.0,2.9,0.0,2.9,0.0,4.9,4.9,31,30,31,31,30,31,30,14.5,2.7
0,0,0,1.0,0.0,5.8,1.0,9.7,2.9,8.5,4.8,31,30,31,31,30,30,31,14.5,2.7
0,0,0,1.0,0.0,2.0,0.0,5.9,11.7,1.0,4.8,31,31,31,31,30,30,31,14.5,2.7
