NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,15.4,35.7,21.4,0.0,35.7,28.6,28.6,14.3,30,30,31,31,29,29,30,13.0,12.9
0,0,0,35.7,0.0,7.7,0.0,33.3,28.6,15.4,7.1,30,30,30,30,29,29,29,13.0,12.9
0,0,0,0.0,14.3,0.0,0.0,0.0,23.1,7.1,0.0,30,29,30,30,29,29,30,13.0,12.9
0,0,0,7.7,14.3,0.0,0.0,0.0,23.1,7.7,0.0,30,30,30,30,29,29,29,13.0,12.9
0,0,0,7.7,7.1,0.0,0.0,0.0,28.6,0.0,0.0,30,29,30,30,29,29,29,13.0,12.9
0,0,0,7.7,0.0,0.0,0.0,0.0,23.1,7.1,0.0,30,29,29,30,29,29,29,13.0,12.9
0,0,0,8.3,0.0,0.0,0.0,0.0,28.6,0.0,7.1,30,30,30,30,29,29,29,13.0,12.9
0,0,0,14.3,7.7,0.0,7.1,0.0,23.1,14.3,69.2,30,30,30,31,29,29,29,13.0,12.9
0,0,0,15.4,7.1,0.0,0.0,0.0,23.1,7.7,38.5,30,30,30,30,29,29,29,13.0,12.9
0,0,0,7.7,0.0,0.0,0.0,7.1,23.1,7.1,7.1,30,29,30,30,29,29,29,13.0,12.9
0,0,0,15.4,0.0,0.0,0.0,0.0,28.6,0.0,0.0,30,29,29,30,29,29,29,13.0,12.9
0,0,0,7.7,0.0,0.0,0.0,7.1,23.1,0.0,0.0,29,29,29,29,29,29,29,13.0,12.9
0,0,0,0.0,14.3,0.0,0.0,7.7,28.6,0.0,0.0,29,29,30,30,29,29,29,13.0,12.9
0,0,0,7.1,14.3,0.0,0.0,0.0,16.7,0.0,7.1,29,29,29,30,29,29,29,13.0,12.9
0,0,0,15.4,0.0,0.0,0.0,7.7,28.6,0.0,7.7,29,29,29,29,29,29,29,13.0,12.9
0,0,0,0.0,0.0,7.1,0.0,6.7,30.8,0.0,7.1,29,29,29,30,29,29,29,13.0,12.9
0,0,0,23.1,0.0,7.1,0.0,7.1,28.6,0.0,7.1,30,29,29,30,29,29,29,13.0,12.9
0,0,0,7.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,29,29,29,30,29,28,29,13.0,12.9
0,0,0,16.7,0.0,0.0,0.0,13.3,28.6,0.0,0.0,29,29,29,29,28,29,29,13.0,12.9
