NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,5.3,2.6,5.2,12.7,19.8,11.4,4.3,14.8,28,27,27,28,27,27,27,13.8,9.0
0,0,0,4.0,2.0,1.0,0.0,11.3,5.8,4.8,5.9,27,27,27,28,27,27,27,13.9,9.0
0,0,0,1.9,0.0,0.0,0.0,4.6,4.5,8.9,13.4,27,27,27,27,27,27,26,13.8,9.0
0,0,0,1.0,2.9,2.9,1.0,8.8,1.0,6.7,5.8,27,27,27,27,27,26,26,13.7,9.0
0,0,0,3.0,2.8,0.0,0.0,11.7,3.8,1.0,4.9,27,27,27,27,26,26,26,13.7,9.0
0,0,0,14.6,10.0,8.9,10.7,8.6,22.0,18.4,22.8,29,29,29,29,28,28,28,14.4,9.0
0,0,0,3.8,1.8,0.9,0.0,1.8,11.4,3.6,14.5,28,27,27,28,27,27,27,14.4,9.0
0,0,0,4.9,0.0,0.0,1.9,2.9,2.0,0.0,9.6,28,27,28,28,27,27,27,14.4,9.0
0,0,0,2.9,1.9,0.9,0.9,9.2,2.8,0.9,7.5,28,28,28,28,28,27,28,14.3,9.0
0,0,0,3.0,1.0,0.0,0.0,4.9,2.9,1.0,3.8,28,28,28,28,28,27,27,14.2,9.0
0,0,0,3.7,3.7,1.8,3.7,3.6,7.2,0.0,17.0,28,27,28,28,27,27,27,14.2,9.0
0,0,0,6.0,1.0,1.9,2.9,5.9,1.0,5.9,7.8,28,27,27,27,27,27,27,14.2,9.0
0,0,0,1.0,1.0,3.0,6.9,1.9,1.9,2.0,11.7,28,28,28,28,27,27,27,14.2,9.0
0,0,0,12.0,5.9,7.9,6.8,7.8,3.0,8.7,7.8,28,28,28,28,28,27,28,13.9,9.0
0,0,0,2.0,1.0,1.9,0.0,0.0,1.9,4.9,15.2,27,27,28,28,27,27,27,13.9,9.0
0,0,0,0.0,0.0,1.9,0.0,3.9,1.9,6.7,7.8,27,27,27,28,27,27,27,13.9,9.0
0,0,0,2.0,1.0,1.0,0.0,2.9,6.9,0.0,3.9,27,27,27,28,27,27,27,13.8,9.0
0,0,0,2.0,1.0,0.0,1.0,1.9,3.8,1.0,4.8,27,27,27,27,27,27,27,13.8,9.0
0,0,0,0.9,0.0,0.0,0.0,0.9,4.3,0.9,13.8,27,27,27,27,27,26,27,13.8,9.0
0,0,0,1.0,0.0,0.0,0.0,0.0,1.9,2.9,3.8,27,27,27,27,26,26,27,13.8,9.0
0,0,0,3.0,1.0,0.0,0.0,0.0,5.8,0.0,2.9,27,27,27,27,26,26,26,13.8,9.0
0,0,0,1.0,0.0,1.9,0.0,0.0,1.0,4.8,3.8,27,27,27,27,26,26,27,13.8,9.0
0,0,0,1.0,0.0,1.0,0.0,1.9,4.9,1.0,2.9,27,27,27,27,26,26,27,13.8,9.0
0,0,0,2.0,1.0,0.0,0.0,0.0,2.9,2.0,2.9,27,26,27,27,26,26,26,13.8,9.0
0,0,0,2.0,1.0,1.0,1.0,0.0,1.0,2.9,3.8,27,27,27,27,26,27,26,13.8,9.0
0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,4.9,2.9,27,26,27,27,26,26,26,13.8,9.0
0,0,0,3.0,1.9,0.0,0.0,2.9,1.9,1.9,5.9,26,27,27,27,26,26,26,13.7,9.0
0,0,0,2.9,0.0,0.0,0.0,1.9,1.0,3.8,4.9,27,27,26,27,26,26,26,13.7,9.0
0,0,0,0.0,0.0,1.9,0.0,1.9,0.0,4.9,3.8,27,27,27,27,26,26,26,13.7,9.0
0,0,0,2.9,1.0,0.0,0.0,1.9,0.0,4.9,2.9,27,26,27,27,26,26,26,13.7,9.0
0,0,0,0.0,0.0,1.0,1.0,2.9,1.0,0.0,7.7,27,26,26,27,26,26,26,13.7,9.0
0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,6.6,2.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,1.0,1.9,0.0,0.0,0.0,3.9,2.9,27,26,26,27,26,26,26,13.7,9.0
0,0,0,8.7,0.0,2.9,0.0,0.0,1.0,0.0,6.7,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,8.7,1.9,0.0,1.0,1.0,0.0,3.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,9.7,2.9,0.0,0.0,0.0,0.0,4.9,26,26,27,27,26,26,26,13.7,9.0
0,0,0,1.0,0.0,1.0,0.0,2.0,1.0,2.9,3.9,26,26,27,27,26,26,26,13.7,9.0
0,0,0,2.0,0.0,1.9,1.0,1.0,1.0,3.8,4.8,27,27,27,27,26,26,26,13.7,9.0
0,0,0,1.0,1.9,0.0,0.0,1.9,2.9,2.9,4.9,27,26,27,27,26,26,26,13.7,9.0
0,0,0,3.9,0.0,1.0,0.0,2.0,0.0,2.9,2.9,27,26,26,26,26,26,26,13.7,9.0
0,0,0,0.0,0.0,1.9,0.0,0.0,1.0,2.9,5.8,26,26,26,27,26,26,26,13.7,9.0
0,0,0,3.9,1.0,1.9,1.0,0.0,0.0,3.8,3.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,3.8,4.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,0.0,1.9,0.0,0.0,0.0,2.9,3.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,2.0,0.0,0.0,0.0,2.9,1.0,3.9,4.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,2.0,1.0,1.0,0.0,2.9,0.0,2.0,2.0,27,26,27,27,26,26,26,13.7,9.0
0,0,0,2.0,1.0,0.0,0.0,1.9,0.0,3.8,4.9,26,26,27,27,26,26,26,13.7,9.0
0,0,0,3.9,1.0,0.0,0.0,1.9,0.0,3.8,4.8,26,26,26,27,26,26,26,13.7,9.0
0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2.9,4.8,26,26,26,27,26,26,26,13.7,9.0
0,0,0,1.0,0.0,1.0,2.0,0.0,0.0,2.9,4.9,26,26,26,27,26,26,26,13.7,9.0
0,0,0,2.9,1.0,1.0,7.7,10.9,3.8,5.8,2.9,27,26,27,27,26,26,26,13.2,9.0
0,0,0,1.0,2.9,1.9,0.0,2.9,2.9,12.6,3.9,27,27,27,27,26,26,27,13.2,9.0
0,0,0,5.1,8.7,2.9,0.0,2.9,2.9,6.8,4.9,27,27,27,27,27,26,26,13.2,9.0
0,0,0,1.0,0.0,2.9,0.0,3.9,2.9,8.7,8.7,27,27,27,27,26,26,26,13.2,9.0
