NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,31.5,28.8,31.4,32.5,90.2,33.9,38.5,44.8,35,36,36,35,35,34,34,14.7,35.2
0,0,0,36.3,35.6,38.5,23.3,24.0,24.5,21.0,20.2,34,34,35,34,33,33,33,14.7,35.1
0,0,0,42.9,31.1,25.7,27.4,16.5,17.3,17.1,17.9,35,34,35,35,33,33,34,14.7,35.1
0,0,0,19.0,25.2,26.9,23.8,8.7,11.4,8.7,7.8,34,33,33,34,33,33,33,14.6,35.1
0,0,0,29.8,26.0,27.5,22.6,12.7,12.5,14.9,17.2,33,34,34,34,33,32,33,14.6,35.1
0,0,0,6.0,11.7,16.5,15.7,3.9,4.9,10.4,4.8,33,32,33,33,32,32,32,14.6,35.1
0,0,0,34.0,30.8,17.6,30.1,11.3,14.4,11.5,14.7,35,36,36,35,32,32,33,14.5,35.1
0,0,0,26.7,25.5,27.9,27.9,31.4,10.7,16.5,16.3,34,34,34,35,32,32,33,14.4,35.4
0,0,0,26.0,28.4,32.4,28.0,65.4,31.7,22.3,28.4,35,35,36,35,33,33,33,14.3,35.9
0,0,0,37.1,37.1,36.2,29.1,40.6,37.5,36.9,40.0,37,38,38,37,34,33,35,14.1,35.9
0,0,0,49.5,51.4,49.0,48.1,80.4,75.7,75.5,75.7,37,37,37,37,35,35,35,14.1,35.9
0,0,0,27.3,19.2,22.3,15.2,16.7,14.6,14.6,20.2,34,34,34,34,33,33,34,14.2,36.0
0,0,0,20.4,17.0,8.8,12.4,12.7,18.3,10.7,7.8,34,33,34,34,33,33,33,14.1,36.1
0,0,0,18.8,24.8,20.0,20.6,19.2,12.5,9.7,11.7,34,34,34,34,33,33,33,14.1,36.1
0,0,0,23.3,28.8,17.3,13.5,25.0,14.2,16.5,17.1,36,37,37,36,33,33,34,14.0,36.3
0,0,0,33.0,27.2,32.7,29.8,40.8,41.7,47.1,39.2,35,36,36,36,34,34,34,14.0,36.5
0,0,0,19.8,12.7,14.3,15.5,12.6,14.2,79.8,15.5,35,36,36,35,34,34,34,13.8,37.3
0,0,0,28.2,27.4,24.0,24.8,24.3,24.0,54.4,26.5,35,36,37,36,35,34,35,13.6,37.7
0,0,0,63.1,61.2,62.5,61.8,59.6,60.0,100.0,64.4,41,44,45,42,38,37,38,13.2,38.4
0,0,0,97.1,98.1,96.2,98.1,98.1,97.1,98.1,97.1,44,46,46,44,40,39,40,13.3,38.4
0,0,0,99.1,99.0,100.0,98.1,98.1,98.1,99.1,99.0,46,49,49,47,42,40,42,13.3,38.4
0,0,0,98.1,98.1,98.1,97.2,98.1,98.1,98.1,98.1,47,49,49,48,43,41,43,13.2,38.4
0,0,0,97.1,97.2,96.2,97.1,97.2,96.3,98.1,97.1,48,49,50,49,44,42,44,13.2,38.4
0,0,0,96.2,97.1,97.1,96.1,97.1,96.2,96.2,97.1,49,50,50,49,45,43,45,13.2,38.3
0,0,0,99.0,100.0,99.0,99.0,99.0,99.1,99.0,99.0,49,51,51,50,46,44,46,13.2,38.3
0,0,0,98.1,98.1,98.1,97.1,98.1,97.2,98.1,98.1,49,52,53,50,46,44,46,13.2,38.3
