NPU0,NPU1,NPU2,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,soc,bigcore0,bigcore1,littlecore,center,gpu,npu,memory,swap
0,0,0,10.0,1.9,2.9,1.9,13.5,4.9,8.8,1.9,31,31,31,31,31,31,31,14.3,38.0
0,0,0,7.9,1.0,1.9,0.0,0.0,9.7,3.0,5.9,31,31,31,32,31,31,31,14.4,38.0
0,0,0,0.0,0.0,1.0,1.0,3.8,4.9,4.8,6.9,31,31,31,31,31,31,31,14.4,38.0
0,0,0,5.8,1.9,1.0,1.0,1.0,3.9,4.8,2.9,31,31,31,31,30,30,31,14.3,38.0
0,0,0,2.0,0.0,1.0,0.0,3.0,7.6,2.9,5.9,31,31,31,31,31,31,31,14.2,38.0
0,0,0,0.0,1.0,1.0,0.0,9.6,5.8,2.9,1.9,31,31,31,31,30,31,31,14.2,38.0
0,0,0,2.9,1.0,1.0,1.0,5.7,7.6,4.0,2.0,31,31,31,31,30,31,30,14.2,38.0
0,0,0,3.0,2.0,1.0,0.0,4.8,7.8,5.8,0.0,31,31,31,31,30,31,30,14.2,38.0
0,0,0,3.9,1.9,0.0,1.9,1.0,4.8,6.7,7.6,31,31,31,31,30,30,30,14.2,38.0
0,0,0,2.0,1.0,1.9,1.0,2.9,3.8,8.6,1.9,31,30,31,31,30,30,30,14.2,38.0
0,0,0,4.9,3.9,1.0,0.0,3.9,3.8,3.9,0.0,31,30,31,31,30,30,30,14.2,38.0
0,0,0,6.9,2.0,1.9,0.0,6.8,2.9,2.0,1.9,31,31,31,31,30,30,31,14.2,38.0
0,0,0,4.0,5.8,1.0,0.0,3.9,6.8,12.6,0.0,31,30,30,31,30,30,30,14.2,38.0
0,0,0,1.0,1.0,2.9,0.0,1.0,6.7,11.8,0.0,31,30,31,31,30,30,30,14.2,38.0
0,0,0,2.0,1.0,3.8,3.9,1.9,5.8,11.8,2.9,31,31,31,31,30,30,30,14.2,38.0
0,0,0,2.0,0.0,1.9,0.0,3.9,3.8,7.7,3.0,31,31,31,31,30,30,30,14.2,38.0
0,0,0,0.0,0.0,0.0,0.0,3.8,7.8,4.9,1.9,31,31,31,31,30,31,31,14.2,38.0
0,0,0,2.9,0.0,1.0,1.0,2.9,3.8,2.9,7.5,31,31,31,31,30,30,30,14.3,38.0
0,0,0,2.0,0.0,1.0,1.0,9.5,5.9,3.8,0.0,31,30,30,31,30,30,30,14.3,38.0
0,0,0,2.0,0.0,1.0,1.0,3.8,11.7,3.8,4.8,31,31,31,31,30,30,30,14.3,38.0
0,0,0,3.0,0.0,0.0,1.0,2.0,9.0,6.8,1.9,31,31,31,31,30,30,30,14.3,38.0
0,0,0,2.0,1.0,1.9,1.0,2.9,15.7,4.9,5.8,31,31,31,31,31,31,31,14.3,38.0
0,0,0,5.8,1.0,1.0,0.0,14.0,7.6,4.8,1.9,31,31,31,31,30,30,30,14.3,38.0
0,0,0,2.0,0.0,0.0,1.0,0.0,11.7,5.9,3.8,31,31,31,31,30,30,31,14.3,38.0
0,0,0,2.0,1.0,1.0,1.0,3.8,4.9,2.9,5.7,31,31,31,31,30,30,31,14.3,38.0
0,0,0,6.7,0.0,0.0,1.0,0.0,3.8,4.9,5.8,31,31,31,31,30,30,30,14.3,38.0
0,0,0,3.0,1.0,0.0,1.0,3.0,12.5,4.9,3.8,31,30,30,31,30,30,30,14.3,38.0
0,0,0,3.0,0.0,1.0,1.9,1.0,5.8,2.9,8.7,31,31,31,31,30,30,30,14.3,38.0
0,0,0,4.0,1.0,1.0,0.0,0.0,3.8,2.9,7.7,31,31,31,31,30,30,30,14.3,38.0
0,0,0,4.0,0.0,0.0,1.9,8.8,7.6,2.0,1.0,31,31,31,31,30,30,30,14.3,38.0
0,0,0,5.0,0.0,0.0,0.0,0.0,5.9,3.9,1.9,30,30,31,31,30,30,30,14.3,38.0
0,0,0,2.0,1.9,1.9,1.0,2.9,5.8,6.8,2.9,30,30,31,31,30,30,30,14.3,38.0
0,0,0,4.9,0.0,0.0,1.9,4.8,4.8,2.9,2.9,31,30,31,31,30,30,30,14.3,38.0
0,0,0,11.0,0.0,1.0,1.0,5.8,1.9,8.5,1.9,31,30,31,31,30,30,30,14.3,38.0
0,0,0,5.0,0.0,0.0,0.0,6.9,0.0,6.7,2.9,31,31,31,31,30,30,30,14.3,38.0
0,0,0,5.9,1.0,1.9,1.0,0.0,5.9,6.8,1.9,31,31,31,31,30,30,31,14.3,38.0
0,0,0,3.9,0.0,0.0,1.0,0.0,9.4,5.9,0.0,31,30,31,31,30,30,30,14.3,38.0
0,0,0,14.0,0.0,1.9,0.0,5.9,3.9,3.8,2.9,30,30,30,31,30,30,30,14.3,38.0
0,0,0,8.8,0.0,0.0,1.9,3.8,1.0,4.9,5.7,31,30,30,30,30,30,30,14.3,38.0
0,0,0,5.0,10.6,0.0,0.0,4.7,5.9,5.8,0.0,31,31,31,31,30,30,31,14.3,38.0
0,0,0,2.9,4.8,0.0,2.9,1.9,13.7,4.8,2.9,31,30,30,30,30,30,30,14.3,38.0
0,0,0,1.0,0.0,1.0,1.9,4.8,1.9,5.9,3.9,30,31,31,31,30,30,30,14.3,38.0
0,0,0,4.0,1.0,0.0,1.0,3.9,6.6,12.6,1.0,30,30,30,31,30,30,30,14.3,38.0
0,0,0,1.0,0.0,1.0,0.0,4.8,5.8,9.7,1.0,30,30,30,31,30,30,30,14.3,38.0
